Intent,Entity,Response
Disaster Awareness,food_and_water,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,shock,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,heatwave,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,sprain,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,sprain,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,evacuation,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,evacuation,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,cut,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,flood,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,burn,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,drowning,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,food_and_water,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,cut,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,heatwave,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,drowning,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,wildfire,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,shock,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,mental_health,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,tornado,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,shelter,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,food_and_water,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,food_and_water,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,shelter,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,heatwave,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,sprain,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,mental_health,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,volcano,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,sprain,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
